"departamento","arma ","fecha","genero","población"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","8/9/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","8/10/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","8/16/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","8/24/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","8/25/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","8/31/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","3/29/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","3/29/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","1/1/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","8/27/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","8/4/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","1/24/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","1/7/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","5/5/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","5/8/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","5/26/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","1/9/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","1/15/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA BLANCA / CORTOPUNZANTE","8/16/2022","MASCULINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","3/13/2022","MASCULINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","6/10/2022","MASCULINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","6/27/2022","MASCULINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","2/2/2022","FEMENINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","3/7/2022","MASCULINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","4/16/2022","FEMENINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","4/30/2022","MASCULINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","5/2/2022","FEMENINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","5/12/2022","FEMENINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","7/17/2022","MASCULINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","8/2/2022","MASCULINO","ADULTOS"
